Title,,
Example for svm feature selection in R,Feature Selection,Data Preparation
How can I use a different distance measure for the k-nearest neighbor in Java/Weka?,Choice of Parameter,Training
"Java, Weka: How to predict numeric attribute?",Prediction,Prediction
Detect a pronoun and its noun?,Model Creation,Choice of model
what is the best way to generate fake data for classification problem?,Data cleaning,Data Preparation
Export Weka Models for Use in C or C++,Converting model,Library
Output confusion matrix in Weka from command line,Evaluation Strategy,Evaluation
Weka: Results of each fold in 10-fold CV,Evaluation Strategy,Evaluation
"How to test existing model with new instance in weka, using java code?",Evaluation Strategy,Evaluation
Can one inspect the weights learned by a logistic regression classifier in weka?,Model Properties,Evaluation
How to add weka features in a new algorithm?,Override ,Library
How to deal with missing attribute values in C4.5 (J48) decision tree?,Data cleaning,Data Preparation
Choose the right classification algorithm. Linear or non-linear?,Selecting model,Choice of model
How to retrieve class values from WEKA using MATLAB,Converting model,Library
Train and test set are not compatible error in weka?,Prediction,Prediction
ERROR While using WEKA API in java code: Class Attribute Not Set?,Adapting Data,Data Preparation
What is Class Index in WEKA?,Adapting Data,Data Preparation
Parameters of a Weka Classifier,Choice of Parameter,Training
How to use weights in Weka,Model Creation,Choice of model
How to create a bag of words using Weka?,Adapting Data,Data Preparation
Loding a weka model to a java code,Loading model,Library
How to rank features by their importance in a Weka classifier?,Feature Selection,Data Preparation
The type FastVector<E> is deprecated,Deprecated,Library
How to interpret Weka Logistic Regression output?,Evaluation Strategy,Evaluation
how to load .arff format file to matlab,Adapting Data,Data Preparation
"Skip feature when classifying, but show feature in output",Feature Selection,Data Preparation
Wrong number of values when importing csv in Weka,Data cleaning,Data Preparation
Weka Attribute Selection,Feature Selection,Data Preparation
"Weka GUI - Not enough memory, won't load?",Platform,Library
Weka always producing same clusters for different data,Prediction,Prediction
Increase heap to avoid Out of Memory Error in WEKA,Platform,Library
Finding out wrongly classified instances when using WEKA,Prediction,Prediction
How to read the classifier confusion matrix in WEKA,Evaluation Strategy,Evaluation
Eclipse - Setting .classpath file for existing project,Installation,Library
how to actually get the nearest neighbor in weka using java,Model Creation,Choice of model
Weka CSV to Arff conversion : IllegalArgumentException: Attribute names are not unique,Adapting Data,Data Preparation
"Weka CSVLoader wrong number of values. Read 2, expected 23",Adapting Data,Data Preparation
Classify music to genre with WEKA,Model Creation,Choice of model
What is pruned and unpruned tree in Weka?,Model Creation,Choice of model
Learning Weka on the Command Line,Installation,Library
Classifying Single Instance in Weka,Model Creation,Choice of model
"Weka error ""cannot handle numeric class"" in Java code using LibSVM",Type mismatch,Data Preparation
Weka's PCA is taking too long to run,Performance,Training
WEKA classification likelihood of the classes,Model Creation,Choice of model
How to use SVM in Weka?,Model Creation,Choice of model
Weka model Read Error in android,Adapting Data,Data Preparation
K-means with really large matrix,Model Creation,Choice of model
How to read a text file with mixed encodings in Scala or Java?,Adapting Data,Data Preparation
Why does the C4.5 algorithm use pruning in order to reduce the decision tree and how does pruning affect the predicion accuracy?,Model Properties,Evaluation
How to learn a Bayesian Network (structure+parameters) with the WEKA API?,Choice of Parameter,Training
Unseen nominal values in weka,Data cleaning,Data Preparation
Adding a new Instance in weka,Adapting Data,Data Preparation
.arff files with scikit-learn?,Adapting Data,Data Preparation
WEKA K-Means Clustering,Model Creation,Choice of model
Natural Language Processing - Features for Text Classification,Feature Selection,Data Preparation
How to use weka for predict results,Prediction,Prediction
Weka Creating Instance Object error,Error/Exception,Training
"Error in plot, formula missing",Error/Exception,Training
Why WEKA Evaluation class need train instances?,Evaluation Strategy,Evaluation
How to interpret weka classification?,Evaluation Strategy,Evaluation
Import WEKA model to MATLAB,Converting model,Library
How to use LibSVM with Weka in my Java code?,Model Creation,Choice of model
How to apply classifier in Weka's Explorer?,Model Creation,Choice of model
How to specify the base classifier in stacking method when using Weka API?,Model Creation,Choice of model
How do I use a JSON file with weka,Adapting Data,Data Preparation
Interpreting the output of StringToWordVector() - Weka,Prediction,Prediction
What is the meaning of jitter in visualize tab of weka,Choice of Parameter,Training
What is evaluation of a cluster in WEKA?,Evaluation Strategy,Evaluation
creating a string attribute in weka java API,Adapting Data,Data Preparation
