Title,CreationDate
"Add bias to Lasagne neural network layers","2015-08-02 15:05:37"
"How do I install theano in Anaconda ver. 2.1 Windows 64 bit for Python 3.4?","2014-12-23 23:10:04"
"tensorflow store training data on GPU memory","2016-06-02 15:37:35"
"How can I change device used of theano","2015-05-12 07:58:11"
"Convert Keras model to C++","2016-04-19 13:52:43"
"Solving reaction-diffusion system with Theano","2016-02-21 08:57:31"
"OpenCL Theano - How to forcefully disable CUDA?","2016-02-24 08:22:03"
"The right way to define a function in theano?","2016-01-25 01:56:32"
"What does 'no_inplace' mean in theano?","2014-08-19 18:56:47"
"Keras: How to get layer shapes in a Sequential model","2017-05-02 17:08:40"
"Tensorflow: Diagonal Subtensor for 3D Convolutional NN","2016-01-20 05:09:44"
"Theano: How to take a ""matrix outer product"" where the elements are matrices","2016-01-22 16:35:15"
"Keras uses way too much GPU memory when calling train_on_batch, fit, etc","2016-10-06 07:34:16"
"Keras Data Augmentation Parameters","2016-12-15 22:42:51"
"What does 'non-trainable params' mean?","2017-11-15 16:11:30"
"Reusing compiled Theano functions","2014-01-14 11:07:55"
"how to setup cuDnn with theano on Windows 7 64 bit","2016-03-27 13:48:04"
"Keras import error Nadam","2016-08-06 23:51:51"
"How to compute Receiving Operating Characteristic (ROC) and AUC in keras?","2016-12-08 05:44:45"
"Error importing theano ""cannot import name gof""","2015-07-16 01:58:57"
"How to enable Keras with Theano to utilize multiple GPUs","2016-05-02 22:20:58"
"Custom Theano Op to do numerical integration","2017-03-08 17:55:00"
"How to add and remove new layers in keras after loading weights?","2017-01-16 02:56:46"
"How to configure a very simple LSTM with Keras / Theano for Regression","2016-05-19 10:29:18"
"Python theano with index computed inside the loop","2015-04-30 15:30:48"
"g++ error on import of Theano on Windows 7","2016-07-22 23:58:07"
"Installing Theano on Windows - DLL load failed","2015-12-29 09:45:57"
"softmax and sigmoid function for the output layer","2016-12-31 14:46:29"
"How can I assign/update subset of tensor shared variable in Theano?","2013-04-10 05:42:09"
"Clarification in the Theano tutorial","2014-08-18 15:27:52"
"Theano: Why does indexing fail in this case?","2013-05-31 01:54:35"
"""g++ not detected"" while data set goes larger, is there any limit to matrix size in GPU?","2015-11-12 12:31:21"
"Theano CUDA exception","2015-12-02 14:22:30"
"Theano installation for Windows, Python 3, 64bit","2014-12-04 08:04:24"
"What is the number of filter in CNN?","2016-03-27 03:31:21"
"Why I can't use theano.tensor.argmax and theano.tensor.mean correctly","2016-03-21 08:20:34"
"Keras CNN images and kernel size mismatch even after image transformation to fit","2016-04-04 00:31:59"
"How to implement Weighted Binary CrossEntropy on theano?","2016-09-09 12:51:50"
"Multiplying the output of two layers in keras","2015-12-10 04:22:52"
"What is the right way to pass inputs parameters to a Theano function?","2016-02-25 09:09:34"
"Keras freezes when using ImageDataGenerator","2016-05-07 23:33:22"
"Theano advanced indexing for tensor, shared index","2015-07-09 13:31:02"
"Using Python+Theano with OpenCL in an AMD GPU","2015-01-15 19:43:18"
"Using Deep Learning to Predict Subsequence from Sequence","2016-05-12 07:20:48"
"Out of memory when creating a Theano shared variable with borrow=True","2015-04-15 11:59:10"
"How to set up theano config","2014-02-06 16:07:51"
"How to monitor tensor values in Theano/Keras?","2016-05-05 22:51:12"
"How do I use Theanets LSTM RNN's on my time series data?","2016-03-17 16:36:41"
"Simple MLP time series training yields unexpeced mean line results","2016-10-06 13:12:17"
"How to install TensorFlow in jupyter notebook on Azure Machine Learning Studio","2016-12-08 05:03:06"
"How to save / serialize a trained model in theano?","2015-08-10 13:38:47"
"How to define a cost function in nolearn, lasagne?","2015-08-22 01:01:15"
"pycuda vs theano vs pylearn2","2014-09-17 19:51:47"
"Purpose of 'givens' variables in Theano.function","2014-11-12 04:13:59"
"add Batch Normalization immediately before non-linearity or after in Keras?","2017-02-21 06:06:39"
"Keras: What if the size of data is not divisible by batch_size?","2016-06-22 17:05:00"
