Categories,Type,Shape,Adapting Data,Data Cleaning,Feature Selection/Selection,Model Creation,Loading/Storing Model,Model Selection,Model Conversion,Estimator Selection,Error/Exception,Choice of parameter,Loss Function,Optimizer,Regularization,Performance,Accuracy,Evaluation Strategy,Visualization,Output interpretation,Tuning Strategy,Selecting tuning parameters,Prediction Accuracy,Reusing pre trained model,Robustness,Non ML API,Installation/platform/dependency,Override/Add Custom Code,Bug
Type,1,0.264449,-0.45402926,0.729017843,0.412898728,-0.347596101,-0.22589,0.669389557,-0.0436,0,0.244734,-0.19519,0.152104122,-0.32891,0,0.078022,0.422006,0.455682,0.480854,-0.35523,0.007758,0.520764,0.448849,0.106044,0.482652301,0.09347,-0.15438,0.857521,0.130004
Shape,0.264449,1,-0.69572533,-0.133927536,-0.172256843,-0.054177237,-0.397,0.272618027,-0.20307,0,0.291051,0.076764,0.554640056,0.059343,0,0.513579,0.459709,-0.2287,0.636641,0.162987,-0.1913,0.12333,0.296879,0.368684,0.55759199,0.218317,0.122516,0.450414,0.058694
Adapting Data,-0.45403,-0.69573,1,-0.337660637,0.279217502,-0.31265905,0.827879,-0.324224769,-0.05512,0,0.082313,0.115003,-0.578311023,-0.37867,0,0.105209,-0.58573,0.012294,-0.56585,0.446942,0.511263,-0.3267,-0.46721,-0.1558,-0.300464686,-0.60245,-0.42809,-0.67341,-0.31643
Data Cleaning,0.729018,-0.13393,-0.33766064,1,0.45448493,0.080715025,-0.45604,0.536769533,-0.12042,0,0.024819,-0.44803,-0.215832236,-0.24541,0,-0.34879,0.155245,0.744256,0.319347,-0.45784,-0.12707,0.529152,0.618278,0.239453,0.371944357,0.23057,-0.2224,0.514387,0.023948
Feature Selection/Selection,0.412899,-0.17226,0.279217502,0.45448493,1,-0.488604215,0.296738,0.69747171,-0.46468,0,0.328592,-0.09194,-0.521363773,-0.69763,0,0.184345,0.139027,0.314261,0.434386,0.32968,0.727268,0.726481,0.062791,0.105138,0.468585547,-0.45044,-0.68645,0.142561,-0.18448
Model Creation,-0.3476,-0.05418,-0.31265905,0.080715025,-0.488604215,1,-0.58806,-0.21649098,-0.23216,0,-0.12206,-0.50389,-0.130060642,0.342088,0,-0.273,-0.17629,-0.13588,-0.17123,-0.27883,-0.48495,-0.18918,0.149007,-0.14315,-0.190886339,0.58312,0.348601,-0.27172,0.044635
Loading/Storing Model,-0.22589,-0.397,0.827879211,-0.456035246,0.296737982,-0.58805835,1,-0.035079458,0.040475,0,0.122218,0.360702,-0.251495901,-0.26495,0,0.352316,-0.2407,-0.07956,-0.25667,0.380253,0.531217,-0.15153,-0.50864,-0.26206,-0.116846109,-0.48097,-0.50414,-0.45311,-0.21218
Model Selection,0.66939,0.272618,-0.32422477,0.536769533,0.69747171,-0.21649098,-0.03508,1,-0.4375,0,0.34198,-0.20234,-0.130569461,-0.29437,0,0.264786,0.485771,0.266967,0.833776,-0.02693,0.311467,0.894362,0.229156,-0.01707,0.65550712,0.200554,-0.47471,0.426655,-0.0729
Model Conversion,-0.0436,-0.20307,-0.05511999,-0.120424476,-0.464681731,-0.2321614,0.040475,-0.43749876,1,0,-0.75456,0.601882,0.589556733,0.609237,0,-0.63229,0.204323,0.123339,-0.37899,-0.59884,-0.51344,-0.30575,0.046625,0.02761,-0.394499645,0.088451,0.391239,0.137444,0.340214
Estimator Selection,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
