Weka,Keras,Scikit-learn,Tensorflow,Caffe,Torch,mahout,h2o,mllib,theano
1.709401709,1.101928375,2.920560748,2.023988006,1.515151515,0,0,0,2.521008403,2.083333333
0,5.509641873,1.869158879,2.623688156,1.515151515,0,0,0,0,2.083333333
20.51282051,7.988980716,8.644859813,9.220389805,9.848484848,22.95081967,14.58333333,35.29411765,25.21008403,10.41666667
3.418803419,0.550964187,3.621495327,2.098950525,1.515151515,0,2.083333333,0,2.521008403,1.5625
4.273504274,1.101928375,9.345794393,0.749625187,0,0,0,5.882352941,4.201680672,0.520833333
21.36752137,26.1707989,21.37850467,23.01349325,26.51515152,22.95081967,43.75,17.64705882,23.52941176,23.4375
1.709401709,1.652892562,1.752336449,1.949025487,1.515151515,4.918032787,0,5.882352941,5.042016807,1.041666667
0,0.550964187,2.102803738,0.59970015,0,0,0,0,0.840336134,0
3.418803419,0.275482094,0.23364486,2.248875562,3.787878788,4.918032787,0,0,0.840336134,2.604166667
0,0,0,0,0,0,0,0,0,0
2.564102564,5.509641873,4.789719626,5.322338831,0.757575758,1.639344262,4.166666667,5.882352941,5.882352941,5.729166667
5.128205128,5.509641873,3.971962617,3.748125937,9.090909091,8.196721311,0,5.882352941,2.521008403,2.604166667
1.709401709,4.132231405,1.401869159,3.748125937,6.060606061,3.278688525,0,0,0.840336134,2.604166667
0.854700855,1.101928375,0.700934579,2.773613193,2.272727273,3.278688525,2.083333333,0,0,1.041666667
0,0,0,0,0,0,0,0,0,0
0.854700855,6.336088154,3.271028037,4.872563718,2.272727273,1.639344262,2.083333333,5.882352941,5.042016807,3.125
0.854700855,2.479338843,3.621495327,0.899550225,3.787878788,1.639344262,0,0,0.840336134,1.041666667
8.547008547,1.101928375,3.855140187,5.247376312,0.757575758,1.639344262,2.083333333,0,5.042016807,0
0,1.652892562,2.686915888,1.649175412,0,0,0,0,0,0
1.709401709,3.856749311,2.219626168,2.173913043,0,1.639344262,2.083333333,5.882352941,1.680672269,2.604166667
0,0.275482094,3.504672897,0.449775112,0.757575758,0,0,5.882352941,1.680672269,1.041666667
0,0,0.817757009,0.074962519,0,0,0,0,0,0
8.547008547,6.887052342,5.257009346,3.973013493,6.060606061,1.639344262,4.166666667,0,5.042016807,2.083333333
1.709401709,1.377410468,0.23364486,0.224887556,0,0,0,0,0,0
0.854700855,1.652892562,1.285046729,0.299850075,0,0,0,0,0.840336134,0
1.709401709,2.754820937,2.803738318,4.422788606,2.272727273,3.278688525,4.166666667,0,2.521008403,2.083333333
7.692307692,9.641873278,5.957943925,14.46776612,16.66666667,16.39344262,18.75,5.882352941,2.521008403,30.72916667
0.854700855,0.826446281,1.518691589,1.049475262,1.515151515,0,0,0,0.840336134,1.5625
0,0,0.23364486,0.074962519,1.515151515,0,0,0,0,0
